sku,method,mae,rmse,wape,bias
CFCL-355,Estacional ingenuo,66.25,73.29392880723478,0.07554161915621437,-0.07554161915621437
CFCL-355,Promedio movil 8s,35.33188556134701,46.00069085915467,0.04028721272673547,-0.006956710765815787
CFCL-355,Holt-Winters,52.54245203989515,61.72916042150961,0.05991157587217235,-0.05991157587217235
CFMO-355,Estacional ingenuo,34.25,40.12792045446661,0.06471421823334908,-0.0543221539914974
CFMO-355,Promedio movil 8s,25.527759209275246,30.92274474309405,0.048233838846056205,0.030188361118579733
CFMO-355,Holt-Winters,22.343311455733613,27.92942196386204,0.042216932367942585,-0.006961721304587236
CFVN-355,Estacional ingenuo,22.125,29.126877621880446,0.03434225844004657,-0.023088863019014357
CFVN-355,Promedio movil 8s,36.246916711330414,44.22313109296984,0.05626219124769952,0.05626219124769952
CFVN-355,Holt-Winters,41.75763530143702,48.12032865064409,0.06481588715783783,0.0632582174369955
ENRG-473,Estacional ingenuo,38.375,46.8894977580268,0.07825643640071374,-0.05786387968391537
ENRG-473,Promedio movil 8s,42.73043680936098,48.04346297179699,0.08713828561684625,0.05594715817133261
ENRG-473,Holt-Winters,29.381230556211584,37.32337725445711,0.0599158410526874,0.001901654427243596
FRTR-500,Estacional ingenuo,41.75,46.24932431938871,0.05698686231018597,-0.043337314451458796
FRTR-500,Promedio movil 8s,58.18127804249525,62.69521526864077,0.07941481391229517,0.07941481391229517
FRTR-500,Holt-Winters,38.59689191592879,49.30258681751388,0.05268301234045902,0.05090271585145597
TELM-500,Estacional ingenuo,69.875,82.0556213796471,0.08514851485148515,-0.0824067022086824
TELM-500,Promedio movil 8s,39.55715670436621,55.41461835979397,0.04820369438460467,0.038599838115564306
TELM-500,Holt-Winters,52.993734733428596,62.959863269783376,0.06457728528064414,-0.05290352471598313
TOTAL,Estacional ingenuo,45.4375,56.12690234340985,0.06658932006228437,-0.05804048484108326
TOTAL,Promedio movil 8s,39.59590550636252,48.883550923763906,0.05802837798996736,0.039914616523937525
TOTAL,Holt-Winters,39.602542667105794,49.48708893329782,0.05803810484600123,-0.0050466620917008495
